char,word
暈,vu-ng3
暖,
暢,su-o^ng2
暨,
暮,mo6
暫,tam6
暴,bao`6
曆,lits'6
曉,he'o`4
暹,siem1
曙,
曖,ai2
曠,xo`ang4
曝,
曦,
曰,viet2
曲,xuk2
曳,ze@i2
更,se@u1
曷,hat6
書,thu-1
曹,tao`3
勗,
曾,ta^ng3
替,the2
會,hoi6
月,nguiet6
有,hu-u5
服,fuk6
朋,ba^ng3
朔,so`k2
朕,ts`e@m5
朗,lang5
望,vo`ng6
期,ki3
朝,ts`ieu3
朦,mong1
朧,
木,mok6
朮,
本,ban4
未,mui3
末,mat6
札,ts`at2
朽,hu4
朴,fa^k2
朱,ts'o`1
朵,do`a2
束,thut2
李,li2
杏,han~6
材,
村,thon1
杜,do5
杖,ts`u-o^ng6
杞,
杉,
杭,
枋,
枕,ts'a^m4
東,hok2
果,kwa4
杳,
杷,
枇,
枝,ts'i1
林,le@m1
杯,boi1
杰,kiet6
板,van2
枉,uong4
松,tung3
析,
杵,ngo`4
枚,mai1
柿,nieu1
染,n~uom6
柱,ts`u6
柔,n~u1
某,mo5
柬,
架,za2
枯,xo1
柵,
柩,ku-u5
柯,
柄,bin~2
柑,dan3
枴,
柚,ze@u1
查,ts`a1
枸,ku2
柏,bats'2
柞,
柳,lieu5
校,da^ng2
核,hats'6
案,zuien1
框,
桓,
根,ka^n1
桂,kwe2
桔,
栩,
梳,so^1
栗,nieu1
桌,
桑,tang1
栽,
柴,sai3
桐,
桀,kiet6
格,kats'2
桃,dao`3
株,ts'o`3
桅,
栓,tho`e'n1
梁,lu-o^ng1
梯,
梢,
梓,
梵,
桿,
桶,thung3
梱,
梧,
梗,
械,zo^i2
梃,
棄,
梭,tho`i1
梆,bu-o^ng1
梅,mai1
梔,
條,dieu3
梨,le1
梟,
棺,kwan1
棕,
棠,
棘,ge@k2
棗,tao`2
椅,
棟,n~a^m2
棵,kwa4
森,ts'um3
棧,suong1
棹,ts'e'o`3
棒,vong4
棲,
棣,
棋,ko^i3
棍,diem3
植,thu-k6
椒,tieu1
椎,ts'o`i3
棉,
棚,
榔,to`m2
業,ngiep6
楚,so^4
楷,
楠,nem1
楔,
極,ku-k6
椰,za1
概,
楊,zu-o^ng1
楨,ts`in~2
楫,
楞,
楓,fo`ng1
楹,
榆,
榜,sats'2
榨,
榕,
槁,kau1
榮,vin~1
槓,kong4
構,
榛,
榷,
榻,
榫,
榴,lu-u6
槐,ho`e'3
槍,thu-o^ng1
榭,
槌,zui3
樣,zang6
樟,
槨,kwats'6
樁,thung1
樞,su1
標,beu1
槽,tau3
模,mo1
樓,le@u3
樊,fan3
槳,
樂,lak6
樅,
樽,
樸,fak2
樺,
橙,ts'an~1
橫,
橘,kwe@t2
樹,thu6
橄,
橢,
橡,
橋,kieu3
橇,
樵,
機,ko^1
檀,dan3
檔,
檄,hits'6
檢,ge'm2
檜,koi2
櫛,
檳,
檬,kwat6
櫃,kui5
檻,
檸,
櫂,ts`ak6
櫥,
櫝,
櫚,
櫓,
櫻,
欄,dan1
權,kwien3
欖,
欠,xiem2
次,thu-2
欣,he@n1
欲,zuk6
款,xo`an4
欺,xi1
欽,xe@m1
歇,het2
歉,
歌,ka1
歐,
歙,
歟,ru1
歡,ho`an1
止,ts'i4
正,ts'in~2
此,thu-4
步,bo6
武,vu5
歧,
歪,kwai1
歲,
歷,lits'6
歸,
歹,ngat6
死,fo^i1
歿,
殃,ts`u-a1
殆,
殊,thua3
殉,tue@n5
殘,dem1
殖,
殤,
殮,liem6
殯,te@n2
殲,
段,do`an6
殷,e@n1
殺,sat2
殼,noi1
毀,hui4
殿,dien6
毅,ngi6
毆,
毋,vo1
母,me@u5
每,za^m3
毒,dok6
毓,
比,ti4
毗,
毛,mao`1
毫,hao`3
毯,som3
毽,
氏,thi6
民,ze@n1
氐,
氓,man~1
氖,
氛,
氟,
氣,xi2
氧,
氨,
氦,
氤,
氫,
氮,
氯,
氳,
水,he'o`2
永,va^ng2
汁,ts'e@p2
汀,den~1
氾,
求,ke@u3
汝,n~o^2
汗,
汙,
江,zang1
池,ts`i3
汐,de@p6
汕,xung1
汞,
沙,van~3
沁,ta^m2
沈,da^m2
沉,ts`o`m3
沅,
沛,fai4
汪,
決,kwiet2
沐,muk2
汰,ve'3
沌,son6
汨,n~a^t6
沖,xe'm1
沒,mo^2
